1;changeTitle - The Perched Ball -|displaySlide 0;;;;;2
2;displaySlide 0;Hello, my name is Mary. And you, what is your name?;$name ;Hello $name !;;3
2;displaySlide 0;Hello, my name is Mary. And you, what is your name?;my name is $name1 $name2 ;Hello $name1 $name2 !;;3
2;displaySlide 0;Hello, my name is Mary. And you, what is your name?;I'm $name ;Hello $name !;;3
3;displaySlide 0;I am really glad to meet you.;so am I;;;4
3;displaySlide 0;I am really glad to meet you.;[me] too;;;4
3;displaySlide 0;I am really glad to meet you.;;;;4
4;displaySlide 0;How old are you?;$age ;Great to know!;;5
4;displaySlide 0;How old are you?;$word $word $age years old;$age years old?;;5
4;displaySlide 0;How old are you?;old [enough];I see.;;5
5;displaySlide 0;You're big now!;[yes];;;6
5;displaySlide 0;You're big now!;[thanks];;;6
5;displaySlide 0;You're big now!;[indeed];;;6
5;displaySlide 0;You're big now!;;;;6
5;displaySlide 0;You're big now!;hum;yes.;;6
5;displaySlide 0;You're big now!;[right];;;6
5;displaySlide 0;You're big now!;[no];Well, if you say so.;;6
6;displaySlide 0;Tell me ... What grade are you in?;$number year;$number year?;;7
6;displaySlide 0;Tell me ... What grade are you in?;$words* in $number year;$number year?;;7
6;displaySlide 0;Tell me ... What grade are you in?;$words* in $number grade;$number grade?;;7
6;displaySlide 0;Tell me ... What grade are you in?;$number grade;$number grade?;;7
7;displaySlide 0;That's good!;;;;8
7;displaySlide 0;That's good!;[yes];;;8
7;displaySlide 0;That's good!;[thanks];;;8
7;displaySlide 0;That's good!;[thank];;;8
7;displaySlide 0;That's good!;[right];;;8
7;displaySlide 0;That's good!;[no];If you say so.;;8
8;displaySlide 0;Would you like to read a story with me?;[yes];;;9
8;displaySlide 0;Would you like to read a story with me?;why not;;;9
8;displaySlide 0;Would you like to read a story with me?;[no];Let's start anyway, you will see how good it is!;;9
9;displaySlide 0;Before starting, I have to tell you that, at the half of the story, I will have to leave and let my friend finish the story. You see? ;[ok];;;10
9;displaySlide 0;Before starting, I have to tell you that, at the half of the story, I will have to leave and let my friend finish the story. You see? ;[yes];;;10
9;displaySlide 0;Before starting, I have to tell you that, at the half of the story, I will have to leave and let my friend finish the story. You see? ;all right;;;10
9;displaySlide 0;Before starting, I have to tell you that, at the half of the story, I will have to leave and let my friend finish the story. You see? ;[understand];;;10
